marca;modelo;modelo2;year;chasis;vin;motor;cilindrada;tm;combustion;depto;municipio
ACURA;CL;CL 16V SOHC VTEC COUPLE ABS;1998;19UYA315;19UTA3158;F32A1;2300;L4;GASOLINA;USULUTAN;USULUTAN
ACURA;CL;CL 16V SOHC VTEC COUPLE ABS;1998;19UYA325;19UTA3258;F32A1;2300;L4;GASOLINA;USULUTAN;USULUTAN
ACURA;CL;CL 16V SOHC VTEC COUPLE ABS;1998;19UYA315;19UTA3151;F32A1;2300;L4;GASOLINA;USULUTAN;USULUTAN
ACURA;EL;EL 16V SOHC VTEC SPORT SEDAN;2005;2HHES368;2HHES3681;D17A2;1700;l4;GASOLINA;SAN MIGUEL;SAN MIGUEL
ACURA;EL;EL 16V SOHC VTEC SPORT SEDAN;2005;2HHES368;2HHES3683;D17A2;1700;l4;GASOLINA;SAN MIGUEL;SAN MIGUEL
TOYOTA;6000;TOYOTA 6000 12V OVH;1970;DA116126;DA1161267;2D;6500;L6;DIESEL;SAN SALVADOR;SAN SALVADOR
TOYOTA;6000;TOYOTA 6000 12V OVH;1971;DA116153;DA1161536;2D;6500;L6;DIESEL;SAN SALVADOR;SAN SALVADOR
TOYOTA;RAV4;RAV4 16V DOHC 2WD 4PTA M/T;2002;ZCA26000;JTEGR20V0;1ZZFE;1800;l4;GASOLINA;SONSONATE;SONSONATE
TOYOTA;RAV4;RAV4 16V DOHC 2WD 4PTA M/T;2002;ZCA26000;JTEGR20V0;1ZZFE;1800;l4;GASOLINA;SONSONATE;SONSONATE
